OrdFY25	POAexemptCode	Description
86730	V26.99XA	"Unspecified rider of other motorcycle injured in collision with other nonmotor vehicle in traffic accident, initial encounter"
86731	V26.99XD	"Unspecified rider of other motorcycle injured in collision with other nonmotor vehicle in traffic accident, subsequent encounter"
86732	V26.99XS	"Unspecified rider of other motorcycle injured in collision with other nonmotor vehicle in traffic accident, sequela"
86736	V27.01XA	"Electric (assisted) bicycle driver injured in collision with fixed or stationary object in nontraffic accident, initial encounter"
86737	V27.01XD	"Electric (assisted) bicycle driver injured in collision with fixed or stationary object in nontraffic accident, subsequent encounter"
86738	V27.01XS	"Electric (assisted) bicycle driver injured in collision with fixed or stationary object in nontraffic accident, sequela"
86740	V27.09XA	"Other motorcycle driver injured in collision with fixed or stationary object in nontraffic accident, initial encounter"
86741	V27.09XD	"Other motorcycle driver injured in collision with fixed or stationary object in nontraffic accident, subsequent encounter"
86742	V27.09XS	"Other motorcycle driver injured in collision with fixed or stationary object in nontraffic accident, sequela"
86745	V27.11XA	"Electric (assisted) bicycle passenger injured in collision with fixed or stationary object in nontraffic accident, initial encounter"
86746	V27.11XD	"Electric (assisted) bicycle passenger injured in collision with fixed or stationary object in nontraffic accident, subsequent encounter"
86747	V27.11XS	"Electric (assisted) bicycle passenger injured in collision with fixed or stationary object in nontraffic accident, sequela"
86749	V27.19XA	"Other motorcycle passenger injured in collision with fixed or stationary object in nontraffic accident, initial encounter"
86750	V27.19XD	"Other motorcycle passenger injured in collision with fixed or stationary object in nontraffic accident, subsequent encounter"
86751	V27.19XS	"Other motorcycle passenger injured in collision with fixed or stationary object in nontraffic accident, sequela"
86754	V27.21XA	"Unspecified electric (assisted) bicycle rider injured in collision with fixed or stationary object in nontraffic accident, initial encounter"
86755	V27.21XD	"Unspecified electric (assisted) bicycle rider injured in collision with fixed or stationary object in nontraffic accident, subsequent encounter"
86756	V27.21XS	"Unspecified electric (assisted) bicycle rider injured in collision with fixed or stationary object in nontraffic accident, sequela"
86758	V27.29XA	"Unspecified rider of other motorcycle injured in collision with fixed or stationary object in nontraffic accident, initial encounter"
86759	V27.29XD	"Unspecified rider of other motorcycle injured in collision with fixed or stationary object in nontraffic accident, subsequent encounter"
86760	V27.29XS	"Unspecified rider of other motorcycle injured in collision with fixed or stationary object in nontraffic accident, sequela"
86763	V27.31XA	"Person boarding or alighting an electric (assisted) bicycle injured in collision with fixed or stationary object, initial encounter"
86764	V27.31XD	"Person boarding or alighting an electric (assisted) bicycle injured in collision with fixed or stationary object, subsequent encounter"
86765	V27.31XS	"Person boarding or alighting an electric (assisted) bicycle injured in collision with fixed or stationary object, sequela"
86767	V27.39XA	"Person boarding or alighting other motorcycle injured in collision with fixed or stationary object, initial encounter"
86768	V27.39XD	"Person boarding or alighting other motorcycle injured in collision with fixed or stationary object, subsequent encounter"
86769	V27.39XS	"Person boarding or alighting other motorcycle injured in collision with fixed or stationary object, sequela"
86772	V27.41XA	"Electric (assisted) bicycle driver injured in collision with fixed or stationary object in traffic accident, initial encounter"
86773	V27.41XD	"Electric (assisted) bicycle driver injured in collision with fixed or stationary object in traffic accident, subsequent encounter"
86774	V27.41XS	"Electric (assisted) bicycle driver injured in collision with fixed or stationary object in traffic accident, sequela"
86776	V27.49XA	"Other motorcycle driver injured in collision with fixed or stationary object in traffic accident, initial encounter"
86777	V27.49XD	"Other motorcycle driver injured in collision with fixed or stationary object in traffic accident, subsequent encounter"
86778	V27.49XS	"Other motorcycle driver injured in collision with fixed or stationary object in traffic accident, sequela"
86781	V27.51XA	"Electric (assisted) bicycle passenger injured in collision with fixed or stationary object in traffic accident, initial encounter"
86782	V27.51XD	"Electric (assisted) bicycle passenger injured in collision with fixed or stationary object in traffic accident, subsequent encounter"
86783	V27.51XS	"Electric (assisted) bicycle passenger injured in collision with fixed or stationary object in traffic accident, sequela"
86785	V27.59XA	"Other motorcycle passenger injured in collision with fixed or stationary object in traffic accident, initial encounter"
86786	V27.59XD	"Other motorcycle passenger injured in collision with fixed or stationary object in traffic accident, subsequent encounter"
86787	V27.59XS	"Other motorcycle passenger injured in collision with fixed or stationary object in traffic accident, sequela"
86790	V27.91XA	"Unspecified electric (assisted) bicycle rider injured in collision with fixed or stationary object in traffic accident, initial encounter"
86791	V27.91XD	"Unspecified electric (assisted) bicycle rider injured in collision with fixed or stationary object in traffic accident, subsequent encounter"
86792	V27.91XS	"Unspecified electric (assisted) bicycle rider injured in collision with fixed or stationary object in traffic accident, sequela"
86794	V27.99XA	"Unspecified rider of other motorcycle injured in collision with fixed or stationary object in traffic accident, initial encounter"
86795	V27.99XD	"Unspecified rider of other motorcycle injured in collision with fixed or stationary object in traffic accident, subsequent encounter"
86796	V27.99XS	"Unspecified rider of other motorcycle injured in collision with fixed or stationary object in traffic accident, sequela"
86800	V28.01XA	"Electric (assisted) bicycle driver injured in noncollision transport accident in nontraffic accident, initial encounter"
86801	V28.01XD	"Electric (assisted) bicycle driver injured in noncollision transport accident in nontraffic accident, subsequent encounter"
86802	V28.01XS	"Electric (assisted) bicycle driver injured in noncollision transport accident in nontraffic accident, sequela"
86804	V28.09XA	"Other motorcycle driver injured in noncollision transport accident in nontraffic accident, initial encounter"
86805	V28.09XD	"Other motorcycle driver injured in noncollision transport accident in nontraffic accident, subsequent encounter"
86806	V28.09XS	"Other motorcycle driver injured in noncollision transport accident in nontraffic accident, sequela"
86809	V28.11XA	"Electric (assisted) bicycle passenger injured in noncollision transport accident in nontraffic accident, initial encounter"
86810	V28.11XD	"Electric (assisted) bicycle passenger injured in noncollision transport accident in nontraffic accident, subsequent encounter"
86811	V28.11XS	"Electric (assisted) bicycle passenger injured in noncollision transport accident in nontraffic accident, sequela"
86813	V28.19XA	"Other motorcycle passenger injured in noncollision transport accident in nontraffic accident, initial encounter"
86814	V28.19XD	"Other motorcycle passenger injured in noncollision transport accident in nontraffic accident, subsequent encounter"
86815	V28.19XS	"Other motorcycle passenger injured in noncollision transport accident in nontraffic accident, sequela"
86818	V28.21XA	"Unspecified electric (assisted) bicycle rider injured in noncollision transport accident in nontraffic accident, initial encounter"
86819	V28.21XD	"Unspecified electric (assisted) bicycle rider injured in noncollision transport accident in nontraffic accident, subsequent encounter"
86820	V28.21XS	"Unspecified electric (assisted) bicycle rider injured in noncollision transport accident in nontraffic accident, sequela"
86822	V28.29XA	"Unspecified rider of other motorcycle injured in noncollision transport accident in nontraffic accident, initial encounter"
86823	V28.29XD	"Unspecified rider of other motorcycle injured in noncollision transport accident in nontraffic accident, subsequent encounter"
86824	V28.29XS	"Unspecified rider of other motorcycle injured in noncollision transport accident in nontraffic accident, sequela"
86827	V28.31XA	"Person boarding or alighting an electric (assisted) bicycle injured in noncollision transport accident, initial encounter"
86828	V28.31XD	"Person boarding or alighting an electric (assisted) bicycle injured in noncollision transport accident, subsequent encounter"
86829	V28.31XS	"Person boarding or alighting an electric (assisted) bicycle injured in noncollision transport accident, sequela"
86831	V28.39XA	"Person boarding or alighting other motorcycle injured in noncollision transport accident, initial encounter"
86832	V28.39XD	"Person boarding or alighting other motorcycle injured in noncollision transport accident, subsequent encounter"
86833	V28.39XS	"Person boarding or alighting other motorcycle injured in noncollision transport accident, sequela"
86836	V28.41XA	"Electric (assisted) bicycle driver injured in noncollision transport accident in traffic accident, initial encounter"
86837	V28.41XD	"Electric (assisted) bicycle driver injured in noncollision transport accident in traffic accident, subsequent encounter"
86838	V28.41XS	"Electric (assisted) bicycle driver injured in noncollision transport accident in traffic accident, sequela"
86840	V28.49XA	"Other motorcycle driver injured in noncollision transport accident in traffic accident, initial encounter"
86841	V28.49XD	"Other motorcycle driver injured in noncollision transport accident in traffic accident, subsequent encounter"
86842	V28.49XS	"Other motorcycle driver injured in noncollision transport accident in traffic accident, sequela"
86845	V28.51XA	"Electric (assisted) bicycle passenger injured in noncollision transport accident in traffic accident, initial encounter"
86846	V28.51XD	"Electric (assisted) bicycle passenger injured in noncollision transport accident in traffic accident, subsequent encounter"
86847	V28.51XS	"Electric (assisted) bicycle passenger injured in noncollision transport accident in traffic accident, sequela"
86849	V28.59XA	"Other motorcycle passenger injured in noncollision transport accident in traffic accident, initial encounter"
86850	V28.59XD	"Other motorcycle passenger injured in noncollision transport accident in traffic accident, subsequent encounter"
86851	V28.59XS	"Other motorcycle passenger injured in noncollision transport accident in traffic accident, sequela"
86854	V28.91XA	"Unspecified electric (assisted) bicycle rider injured in noncollision transport accident in traffic accident, initial encounter"
86855	V28.91XD	"Unspecified electric (assisted) bicycle rider injured in noncollision transport accident in traffic accident, subsequent encounter"
86856	V28.91XS	"Unspecified electric (assisted) bicycle rider injured in noncollision transport accident in traffic accident, sequela"
86858	V28.99XA	"Unspecified rider of other motorcycle injured in noncollision transport accident in traffic accident, initial encounter"
86859	V28.99XD	"Unspecified rider of other motorcycle injured in noncollision transport accident in traffic accident, subsequent encounter"
86860	V28.99XS	"Unspecified rider of other motorcycle injured in noncollision transport accident in traffic accident, sequela"
86865	V29.001A	"Electric (assisted) bicycle driver injured in collision with unspecified motor vehicles in nontraffic accident, initial encounter"
86866	V29.001D	"Electric (assisted) bicycle driver injured in collision with unspecified motor vehicles in nontraffic accident, subsequent encounter"
86867	V29.001S	"Electric (assisted) bicycle driver injured in collision with unspecified motor vehicles in nontraffic accident, sequela"
86869	V29.008A	"Other motorcycle driver injured in collision with unspecified motor vehicles in nontraffic accident, initial encounter"
86870	V29.008D	"Other motorcycle driver injured in collision with unspecified motor vehicles in nontraffic accident, subsequent encounter"
86871	V29.008S	"Other motorcycle driver injured in collision with unspecified motor vehicles in nontraffic accident, sequela"
86874	V29.091A	"Electric (assisted) bicycle driver injured in collision with other motor vehicles in nontraffic accident, initial encounter"
86875	V29.091D	"Electric (assisted) bicycle driver injured in collision with other motor vehicles in nontraffic accident, subsequent encounter"
86876	V29.091S	"Electric (assisted) bicycle driver injured in collision with other motor vehicles in nontraffic accident, sequela"
86878	V29.098A	"Other motorcycle driver injured in collision with other motor vehicles in nontraffic accident, initial encounter"
86879	V29.098D	"Other motorcycle driver injured in collision with other motor vehicles in nontraffic accident, subsequent encounter"
86880	V29.098S	"Other motorcycle driver injured in collision with other motor vehicles in nontraffic accident, sequela"
86884	V29.101A	"Electric (assisted) bicycle passenger injured in collision with unspecified motor vehicles in nontraffic accident, initial encounter"
86885	V29.101D	"Electric (assisted) bicycle passenger injured in collision with unspecified motor vehicles in nontraffic accident, subsequent encounter"
86886	V29.101S	"Electric (assisted) bicycle passenger injured in collision with unspecified motor vehicles in nontraffic accident, sequela"
86888	V29.108A	"Other motorcycle passenger injured in collision with unspecified motor vehicles in nontraffic accident, initial encounter"
86889	V29.108D	"Other motorcycle passenger injured in collision with unspecified motor vehicles in nontraffic accident, subsequent encounter"
86890	V29.108S	"Other motorcycle passenger injured in collision with unspecified motor vehicles in nontraffic accident, sequela"
86893	V29.191A	"Electric (assisted) bicycle passenger injured in collision with other motor vehicles in nontraffic accident, initial encounter"
86894	V29.191D	"Electric (assisted) bicycle passenger injured in collision with other motor vehicles in nontraffic accident, subsequent encounter"
86895	V29.191S	"Electric (assisted) bicycle passenger injured in collision with other motor vehicles in nontraffic accident, sequela"
86897	V29.198A	"Other motorcycle passenger injured in collision with other motor vehicles in nontraffic accident, initial encounter"
86898	V29.198D	"Other motorcycle passenger injured in collision with other motor vehicles in nontraffic accident, subsequent encounter"
86899	V29.198S	"Other motorcycle passenger injured in collision with other motor vehicles in nontraffic accident, sequela"
86903	V29.201A	"Unspecified electric (assisted) bicycle rider injured in collision with unspecified motor vehicles in nontraffic accident, initial encounter"
86904	V29.201D	"Unspecified electric (assisted) bicycle rider injured in collision with unspecified motor vehicles in nontraffic accident, subsequent encounter"
86905	V29.201S	"Unspecified electric (assisted) bicycle rider injured in collision with unspecified motor vehicles in nontraffic accident, sequela"
86907	V29.208A	"Unspecified rider of other motorcycle injured in collision with unspecified motor vehicles in nontraffic accident, initial encounter"
86908	V29.208D	"Unspecified rider of other motorcycle injured in collision with unspecified motor vehicles in nontraffic accident, subsequent encounter"
86909	V29.208S	"Unspecified rider of other motorcycle injured in collision with unspecified motor vehicles in nontraffic accident, sequela"
86912	V29.291A	"Unspecified electric (assisted) bicycle rider injured in collision with other motor vehicles in nontraffic accident, initial encounter"
86913	V29.291D	"Unspecified electric (assisted) bicycle rider injured in collision with other motor vehicles in nontraffic accident, subsequent encounter"
86914	V29.291S	"Unspecified electric (assisted) bicycle rider injured in collision with other motor vehicles in nontraffic accident, sequela"
86916	V29.298A	"Unspecified rider of other motorcycle injured in collision with other motor vehicles in nontraffic accident, initial encounter"
86917	V29.298D	"Unspecified rider of other motorcycle injured in collision with other motor vehicles in nontraffic accident, subsequent encounter"
86918	V29.298S	"Unspecified rider of other motorcycle injured in collision with other motor vehicles in nontraffic accident, sequela"
86921	V29.31XA	"Electric (assisted) bicycle (driver) (passenger) injured in unspecified nontraffic accident, initial encounter"
86922	V29.31XD	"Electric (assisted) bicycle (driver) (passenger) injured in unspecified nontraffic accident, subsequent encounter"
86923	V29.31XS	"Electric (assisted) bicycle (driver) (passenger) injured in unspecified nontraffic accident, sequela"
86925	V29.39XA	"Other motorcycle (driver) (passenger) injured in unspecified nontraffic accident, initial encounter"
86926	V29.39XD	"Other motorcycle (driver) (passenger) injured in unspecified nontraffic accident, subsequent encounter"
86927	V29.39XS	"Other motorcycle (driver) (passenger) injured in unspecified nontraffic accident, sequela"
86931	V29.401A	"Electric (assisted) bicycle driver injured in collision with unspecified motor vehicles in traffic accident, initial encounter"
86932	V29.401D	"Electric (assisted) bicycle driver injured in collision with unspecified motor vehicles in traffic accident, subsequent encounter"
86933	V29.401S	"Electric (assisted) bicycle driver injured in collision with unspecified motor vehicles in traffic accident, sequela"
86935	V29.408A	"Other motorcycle driver injured in collision with unspecified motor vehicles in traffic accident, initial encounter"
86936	V29.408D	"Other motorcycle driver injured in collision with unspecified motor vehicles in traffic accident, subsequent encounter"
86937	V29.408S	"Other motorcycle driver injured in collision with unspecified motor vehicles in traffic accident, sequela"
86940	V29.491A	"Electric (assisted) bicycle driver injured in collision with other motor vehicles in traffic accident, initial encounter"
86941	V29.491D	"Electric (assisted) bicycle driver injured in collision with other motor vehicles in traffic accident, subsequent encounter"
86942	V29.491S	"Electric (assisted) bicycle driver injured in collision with other motor vehicles in traffic accident, sequela"
86944	V29.498A	"Other motorcycle driver injured in collision with other motor vehicles in traffic accident, initial encounter"
86945	V29.498D	"Other motorcycle driver injured in collision with other motor vehicles in traffic accident, subsequent encounter"
86946	V29.498S	"Other motorcycle driver injured in collision with other motor vehicles in traffic accident, sequela"
86950	V29.501A	"Electric (assisted) bicycle passenger injured in collision with unspecified motor vehicles in traffic accident, initial encounter"
86951	V29.501D	"Electric (assisted) bicycle passenger injured in collision with unspecified motor vehicles in traffic accident, subsequent encounter"
86952	V29.501S	"Electric (assisted) bicycle passenger injured in collision with unspecified motor vehicles in traffic accident, sequela"
86954	V29.508A	"Other motorcycle passenger injured in collision with unspecified motor vehicles in traffic accident, initial encounter"
86955	V29.508D	"Other motorcycle passenger injured in collision with unspecified motor vehicles in traffic accident, subsequent encounter"
86956	V29.508S	"Other motorcycle passenger injured in collision with unspecified motor vehicles in traffic accident, sequela"
86959	V29.591A	"Electric (assisted) bicycle passenger injured in collision with other motor vehicles in traffic accident, initial encounter"
86960	V29.591D	"Electric (assisted) bicycle passenger injured in collision with other motor vehicles in traffic accident, subsequent encounter"
86961	V29.591S	"Electric (assisted) bicycle passenger injured in collision with other motor vehicles in traffic accident, sequela"
86963	V29.598A	"Other motorcycle passenger injured in collision with other motor vehicles in traffic accident, initial encounter"
86964	V29.598D	"Other motorcycle passenger injured in collision with other motor vehicles in traffic accident, subsequent encounter"
86965	V29.598S	"Other motorcycle passenger injured in collision with other motor vehicles in traffic accident, sequela"
86969	V29.601A	"Unspecified electric (assisted) bicycle rider injured in collision with unspecified motor vehicles in traffic accident, initial encounter"
86970	V29.601D	"Unspecified electric (assisted) bicycle rider injured in collision with unspecified motor vehicles in traffic accident, subsequent encounter"
86971	V29.601S	"Unspecified electric (assisted) bicycle rider injured in collision with unspecified motor vehicles in traffic accident, sequela"
86973	V29.608A	"Unspecified rider of other motorcycle injured in collision with unspecified motor vehicles in traffic accident, initial encounter"
86974	V29.608D	"Unspecified rider of other motorcycle injured in collision with unspecified motor vehicles in traffic accident, subsequent encounter"
86975	V29.608S	"Unspecified rider of other motorcycle injured in collision with unspecified motor vehicles in traffic accident, sequela"
86978	V29.691A	"Unspecified electric (assisted) bicycle rider injured in collision with other motor vehicles in traffic accident, initial encounter"
86979	V29.691D	"Unspecified electric (assisted) bicycle rider injured in collision with other motor vehicles in traffic accident, subsequent encounter"
86980	V29.691S	"Unspecified electric (assisted) bicycle rider injured in collision with other motor vehicles in traffic accident, sequela"
86982	V29.698A	"Unspecified rider of other motorcycle injured in collision with other motor vehicles in traffic accident, initial encounter"
86983	V29.698D	"Unspecified rider of other motorcycle injured in collision with other motor vehicles in traffic accident, subsequent encounter"
86984	V29.698S	"Unspecified rider of other motorcycle injured in collision with other motor vehicles in traffic accident, sequela"
86988	V29.811A	"Electric (assisted) bicycle rider (driver) (passenger) injured in transport accident with military vehicle, initial encounter"
86989	V29.811D	"Electric (assisted) bicycle rider (driver) (passenger) injured in transport accident with military vehicle, subsequent encounter"
86990	V29.811S	"Electric (assisted) bicycle rider (driver) (passenger) injured in transport accident with military vehicle, sequela"
86992	V29.818A	"Rider (driver) (passenger) of other motorcycle injured in transport accident with military vehicle, initial encounter"
86993	V29.818D	"Rider (driver) (passenger) of other motorcycle injured in transport accident with military vehicle, subsequent encounter"
86994	V29.818S	"Rider (driver) (passenger) of other motorcycle injured in transport accident with military vehicle, sequela"
86997	V29.881A	"Electric (assisted) bicycle rider (driver) (passenger) injured in other specified transport accidents, initial encounter"
86998	V29.881D	"Electric (assisted) bicycle rider (driver) (passenger) injured in other specified transport accidents, subsequent encounter"
86999	V29.881S	"Electric (assisted) bicycle rider (driver) (passenger) injured in other specified transport accidents, sequela"
87001	V29.888A	"Rider (driver) (passenger) of other motorcycle injured in other specified transport accidents, initial encounter"
87002	V29.888D	"Rider (driver) (passenger) of other motorcycle injured in other specified transport accidents, subsequent encounter"
87003	V29.888S	"Rider (driver) (passenger) of other motorcycle injured in other specified transport accidents, sequela"
87006	V29.91XA	"Electric (assisted) bicycle rider (driver) (passenger) injured in unspecified traffic accident, initial encounter"
87007	V29.91XD	"Electric (assisted) bicycle rider (driver) (passenger) injured in unspecified traffic accident, subsequent encounter"
87008	V29.91XS	"Electric (assisted) bicycle rider (driver) (passenger) injured in unspecified traffic accident, sequela"
87010	V29.99XA	"Rider (driver) (passenger) of other motorcycle injured in unspecified traffic accident, initial encounter"
87011	V29.99XD	"Rider (driver) (passenger) of other motorcycle injured in unspecified traffic accident, subsequent encounter"
87012	V29.99XS	"Rider (driver) (passenger) of other motorcycle injured in unspecified traffic accident, sequela"
87015	V30.0XXA	"Driver of three-wheeled motor vehicle injured in collision with pedestrian or animal in nontraffic accident, initial encounter"
87016	V30.0XXD	"Driver of three-wheeled motor vehicle injured in collision with pedestrian or animal in nontraffic accident, subsequent encounter"
87017	V30.0XXS	"Driver of three-wheeled motor vehicle injured in collision with pedestrian or animal in nontraffic accident, sequela"
87019	V30.1XXA	"Passenger in three-wheeled motor vehicle injured in collision with pedestrian or animal in nontraffic accident, initial encounter"
87020	V30.1XXD	"Passenger in three-wheeled motor vehicle injured in collision with pedestrian or animal in nontraffic accident, subsequent encounter"
87021	V30.1XXS	"Passenger in three-wheeled motor vehicle injured in collision with pedestrian or animal in nontraffic accident, sequela"
87023	V30.2XXA	"Person on outside of three-wheeled motor vehicle injured in collision with pedestrian or animal in nontraffic accident, initial encounter"
87024	V30.2XXD	"Person on outside of three-wheeled motor vehicle injured in collision with pedestrian or animal in nontraffic accident, subsequent encounter"
87025	V30.2XXS	"Person on outside of three-wheeled motor vehicle injured in collision with pedestrian or animal in nontraffic accident, sequela"
87027	V30.3XXA	"Unspecified occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal in nontraffic accident, initial encounter"
87028	V30.3XXD	"Unspecified occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal in nontraffic accident, subsequent encounter"
87029	V30.3XXS	"Unspecified occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal in nontraffic accident, sequela"
87031	V30.4XXA	"Person boarding or alighting a three-wheeled motor vehicle injured in collision with pedestrian or animal, initial encounter"
87032	V30.4XXD	"Person boarding or alighting a three-wheeled motor vehicle injured in collision with pedestrian or animal, subsequent encounter"
87033	V30.4XXS	"Person boarding or alighting a three-wheeled motor vehicle injured in collision with pedestrian or animal, sequela"
87035	V30.5XXA	"Driver of three-wheeled motor vehicle injured in collision with pedestrian or animal in traffic accident, initial encounter"
87036	V30.5XXD	"Driver of three-wheeled motor vehicle injured in collision with pedestrian or animal in traffic accident, subsequent encounter"
87037	V30.5XXS	"Driver of three-wheeled motor vehicle injured in collision with pedestrian or animal in traffic accident, sequela"
87039	V30.6XXA	"Passenger in three-wheeled motor vehicle injured in collision with pedestrian or animal in traffic accident, initial encounter"
87040	V30.6XXD	"Passenger in three-wheeled motor vehicle injured in collision with pedestrian or animal in traffic accident, subsequent encounter"
87041	V30.6XXS	"Passenger in three-wheeled motor vehicle injured in collision with pedestrian or animal in traffic accident, sequela"
87043	V30.7XXA	"Person on outside of three-wheeled motor vehicle injured in collision with pedestrian or animal in traffic accident, initial encounter"
87044	V30.7XXD	"Person on outside of three-wheeled motor vehicle injured in collision with pedestrian or animal in traffic accident, subsequent encounter"
87045	V30.7XXS	"Person on outside of three-wheeled motor vehicle injured in collision with pedestrian or animal in traffic accident, sequela"
87047	V30.9XXA	"Unspecified occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal in traffic accident, initial encounter"
87048	V30.9XXD	"Unspecified occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal in traffic accident, subsequent encounter"
87049	V30.9XXS	"Unspecified occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal in traffic accident, sequela"
87052	V31.0XXA	"Driver of three-wheeled motor vehicle injured in collision with pedal cycle in nontraffic accident, initial encounter"
87053	V31.0XXD	"Driver of three-wheeled motor vehicle injured in collision with pedal cycle in nontraffic accident, subsequent encounter"
87054	V31.0XXS	"Driver of three-wheeled motor vehicle injured in collision with pedal cycle in nontraffic accident, sequela"
87056	V31.1XXA	"Passenger in three-wheeled motor vehicle injured in collision with pedal cycle in nontraffic accident, initial encounter"
87057	V31.1XXD	"Passenger in three-wheeled motor vehicle injured in collision with pedal cycle in nontraffic accident, subsequent encounter"
87058	V31.1XXS	"Passenger in three-wheeled motor vehicle injured in collision with pedal cycle in nontraffic accident, sequela"
87060	V31.2XXA	"Person on outside of three-wheeled motor vehicle injured in collision with pedal cycle in nontraffic accident, initial encounter"
87061	V31.2XXD	"Person on outside of three-wheeled motor vehicle injured in collision with pedal cycle in nontraffic accident, subsequent encounter"
87062	V31.2XXS	"Person on outside of three-wheeled motor vehicle injured in collision with pedal cycle in nontraffic accident, sequela"
87064	V31.3XXA	"Unspecified occupant of three-wheeled motor vehicle injured in collision with pedal cycle in nontraffic accident, initial encounter"
87065	V31.3XXD	"Unspecified occupant of three-wheeled motor vehicle injured in collision with pedal cycle in nontraffic accident, subsequent encounter"
87066	V31.3XXS	"Unspecified occupant of three-wheeled motor vehicle injured in collision with pedal cycle in nontraffic accident, sequela"
87068	V31.4XXA	"Person boarding or alighting a three-wheeled motor vehicle injured in collision with pedal cycle, initial encounter"
87069	V31.4XXD	"Person boarding or alighting a three-wheeled motor vehicle injured in collision with pedal cycle, subsequent encounter"
87070	V31.4XXS	"Person boarding or alighting a three-wheeled motor vehicle injured in collision with pedal cycle, sequela"
87072	V31.5XXA	"Driver of three-wheeled motor vehicle injured in collision with pedal cycle in traffic accident, initial encounter"
87073	V31.5XXD	"Driver of three-wheeled motor vehicle injured in collision with pedal cycle in traffic accident, subsequent encounter"
87074	V31.5XXS	"Driver of three-wheeled motor vehicle injured in collision with pedal cycle in traffic accident, sequela"
87076	V31.6XXA	"Passenger in three-wheeled motor vehicle injured in collision with pedal cycle in traffic accident, initial encounter"
87077	V31.6XXD	"Passenger in three-wheeled motor vehicle injured in collision with pedal cycle in traffic accident, subsequent encounter"
87078	V31.6XXS	"Passenger in three-wheeled motor vehicle injured in collision with pedal cycle in traffic accident, sequela"
87080	V31.7XXA	"Person on outside of three-wheeled motor vehicle injured in collision with pedal cycle in traffic accident, initial encounter"
87081	V31.7XXD	"Person on outside of three-wheeled motor vehicle injured in collision with pedal cycle in traffic accident, subsequent encounter"
87082	V31.7XXS	"Person on outside of three-wheeled motor vehicle injured in collision with pedal cycle in traffic accident, sequela"
87084	V31.9XXA	"Unspecified occupant of three-wheeled motor vehicle injured in collision with pedal cycle in traffic accident, initial encounter"
87085	V31.9XXD	"Unspecified occupant of three-wheeled motor vehicle injured in collision with pedal cycle in traffic accident, subsequent encounter"
87086	V31.9XXS	"Unspecified occupant of three-wheeled motor vehicle injured in collision with pedal cycle in traffic accident, sequela"
87089	V32.0XXA	"Driver of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, initial encounter"
87090	V32.0XXD	"Driver of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, subsequent encounter"
87091	V32.0XXS	"Driver of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, sequela"
87093	V32.1XXA	"Passenger in three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, initial encounter"
87094	V32.1XXD	"Passenger in three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, subsequent encounter"
87095	V32.1XXS	"Passenger in three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, sequela"
87097	V32.2XXA	"Person on outside of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, initial encounter"
87098	V32.2XXD	"Person on outside of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, subsequent encounter"
87099	V32.2XXS	"Person on outside of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, sequela"
87101	V32.3XXA	"Unspecified occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, initial encounter"
87102	V32.3XXD	"Unspecified occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, subsequent encounter"
87103	V32.3XXS	"Unspecified occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, sequela"
87105	V32.4XXA	"Person boarding or alighting a three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle, initial encounter"
87106	V32.4XXD	"Person boarding or alighting a three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle, subsequent encounter"
87107	V32.4XXS	"Person boarding or alighting a three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle, sequela"
87109	V32.5XXA	"Driver of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle in traffic accident, initial encounter"
87110	V32.5XXD	"Driver of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle in traffic accident, subsequent encounter"
87111	V32.5XXS	"Driver of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle in traffic accident, sequela"
87113	V32.6XXA	"Passenger in three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle in traffic accident, initial encounter"
87114	V32.6XXD	"Passenger in three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle in traffic accident, subsequent encounter"
